series,run,sr_pre,sr_min,sr_final,qi_final,atk_qquar,atk_epsilon
QL(250),10,0.952,0.704,0.944,0.941007,0.0,0.0516536
QL(250),11,0.996,0.716,0.976,0.939649,0.0,0.0471428
QL(250),12,0.984,0.716,0.972,0.935144,0.0,0.043026
QL(250),13,0.988,0.552,0.972,0.93483,0.0,0.0404832
QL(250),14,0.972,0.652,0.96,0.926115,0.0,0.0369479
QL(250),15,0.996,0.828,0.984,0.961332,0.0,0.0347643
QL(250),16,0.98,0.744,0.964,0.949119,0.0,0.0307766
QL(250),17,0.996,0.788,0.98,0.937744,0.0,0.028089
QL(250),18,0.984,0.836,0.968,0.941613,0.0,0.0256361
QL(250),19,0.992,0.696,0.972,0.921904,0.0,0.0233974
QL(250),20,0.984,0.58,0.972,0.965851,0.0,0.0220146
QL(250),21,0.984,0.616,0.968,0.913986,0.0,0.0200921
QL(250),22,0.984,0.54,0.964,0.927667,0.0,0.02
QL(250),23,0.988,0.316,0.968,0.931078,0.0,0.02
QL(250),24,0.976,0.72,0.972,0.92866,0.0,0.02
QL(250),25,0.996,0.644,0.98,0.947509,0.0,0.02
QL(250),26,0.996,0.84,0.988,0.945564,0.0,0.02
QL(250),27,0.976,0.524,0.956,0.940516,0.0,0.02
QL(250),28,0.992,0.636,0.976,0.942663,0.0,0.02
QL(250),29,0.976,0.692,0.976,0.944432,0.0,0.02
QL(250),30,0.952,0.804,0.94,0.934421,0.0,0.02
QL(250),31,1.0,0.564,0.984,0.949647,0.0,0.02
QL(250),32,0.964,0.64,0.984,0.94065,0.0,0.02
QL(250),33,0.984,0.484,0.976,0.921419,0.0,0.02
QL(250),34,0.992,0.804,0.976,0.941228,0.0,0.02
QL(250),35,0.976,0.696,0.96,0.960451,0.0,0.02
